BR_0000243,-55.511,-1.947,4670000000000.000,126969,4766634807437.578
BR_0000244,-55.513,-1.919,4670000000000.000,126969,4766634807437.578
BR_0000215,-58.411,-3.154,4350000000000.000,124804,4439295731002.665
CD_0000004,15.333,-4.137,3747320000000.000,123511,3723483193632.332
CD_0000001,15.300,-4.300,3475000000000.000,123511,3723483193632.332
RU_0000081,66.530,66.570,2949998000000.000,225854,2515692114417.593
BR_0000130,-59.648,-3.063,2930000000000.000,124801,2979112054678.628
BR_0000131,-59.834,-3.196,2853079000000.000,124801,2979112054678.628
RU_0000019,126.800,72.370,2460000000000.000,233894,2268839411180.377
RU_0000050,86.500,67.480,2440000000000.000,226614,2678564355196.596
RU_0000014,127.650,70.700,2430000000000.000,231736,2245734562212.254
AR_0000006,-60.710,-32.670,2346000000000.000,82319,2576193010987.773
BR_0000086,-60.609,-3.311,2200000000000.000,124799,2246927043935.469
RU_0000082,68.600,61.070,2160000000000.000,217938,2245782328265.689
AR_0000005,-58.850,-27.970,1950000000000.000,89523,2177723298384.469
BR_0002840,-58.850,-27.450,1950000000000.000,90243,2172251806393.423
RU_0000040,140.470,52.530,1790000000000.000,205841,1993930489555.715
BR_0000050,-63.028,-4.058,1780000000000.000,123355,1830400458250.015
RU_0000051,90.080,61.600,1760000000000.000,218700,1786470391767.206
RU_0000039,137.120,50.630,1730000000000.000,202955,1930545549890.444
CN_0000180,117.620,30.770,1705383000000.000,174116,1737448948494.659
CA_0006066,-133.753,67.456,1679100000000.000,226893,1682400985593.820
RU_0000036,135.050,48.430,1630000000000.000,199350,1630546256931.125
CA_0006041,-126.850,65.272,1594500000000.000,223307,1588574118321.208
RU_0000052,92.150,58.450,1400000000000.000,213665,1440280341747.749
RU_0000160,44.586,48.805,1360000000000.000,199890,1433826055420.957
BR_0000209,-60.025,-4.897,1310000000000.000,122640,1349335598271.409
CA_0006018,-121.359,61.868,1301435000000.000,218278,1323363648468.314
RU_0000071,69.070,60.970,1200000000000.000,217219,1203566958025.833
BR_0000200,-61.302,-5.817,1150000000000.000,121198,1175420471060.386
BR_0000018,-67.936,-3.102,1130000000000.000,124785,1149588579733.920
CA_0003444,-94.634,56.380,1100000000000.000,210411,1061656887360.979
CA_0003445,-94.369,56.397,1100000000000.000,210412,1063374311413.220
BR_0000195,-63.018,-7.503,1090000000000.000,118315,1117127034683.224
CA_0003441,-97.218,55.223,1050000000000.000,208966,1004002111547.155
CA_0003442,-96.525,56.039,1050000000000.000,210408,1056504615204.259
CA_0003440,-97.931,54.775,1040000000000.000,208245,1000478070513.279
RU_0000044,93.370,58.180,1040000000000.000,213667,1072030266904.130
BR_0000015,-68.763,-3.440,1010000000000.000,124783,1056925862799.126
BR_0000164,-63.930,-8.782,988872510000.000,116873,1013711055253.834
CA_0006010,-117.545,61.261,980000000000.000,217565,1006595180702.727
BR_0000165,-63.917,-8.748,976000000000.000,116873,1013711055253.834
AR_0000001,-55.880,-27.370,975000000000.000,90249,1001441881789.469
BR_0000163,-64.810,-9.512,958000000000.000,116151,992376427732.781
CD_0000002,25.450,-0.350,948500000000.000,129292,974092864843.059
BR_0002738,-56.700,-27.583,941000000000.000,90247,1006938286443.341
CA_0001378,-73.120,46.050,923000000000.000,195334,938391987161.137
BR_0000158,-65.367,-9.705,921000000000.000,115430,983236765842.792
RU_0000018,129.600,61.830,897000000000.000,218780,798427424398.204
BR_0000008,-69.945,-4.235,874000000000.000,123341,1026090520919.815
ZA_0000001,17.721,-28.758,866486000000.000,88236,846703987013.436
RU_0000045,97.450,58.380,866000000000.000,213675,900891190287.095
VE_0000009,-63.600,8.150,836000000000.000,141353,836089450884.958
BR_0000157,-65.361,-10.357,834000000000.000,114710,952808391415.755
BR_0002547,-54.600,-25.400,823000000000.000,93131,879292419703.834
BR_0002527,-54.333,-24.500,811000000000.000,93852,865289990517.468
CD_0000003,25.917,-2.950,810440000000.000,125692,865948940129.722
RO_0000038,28.717,45.217,807000000000.000,194818,878801135095.627
BR_0002524,-54.249,-24.069,804000000000.000,94572,856868011684.393
BR_0002839,-57.650,-25.367,786000000000.000,93125,893271042950.900
CA_0001166,-74.795,45.006,774000000000.000,194611,755058838991.555
CA_0001162,-75.310,44.841,772000000000.000,193890,741830152768.423
CA_0001169,-73.908,45.300,772000000000.000,194613,907735756693.187
CA_0001170,-74.069,45.308,772000000000.000,194612,905559448923.707
CA_0001171,-74.182,45.272,772000000000.000,194612,905559448923.707
CA_0001172,-73.908,45.300,772000000000.000,194613,907735756693.187
CA_0001173,-73.908,45.300,772000000000.000,194613,907735756693.187
CA_0001177,-74.067,45.298,772000000000.000,194612,905559448923.707
BR_0000479,-49.653,-3.758,764000000000.000,124101,732303543977.697
BR_0000478,-49.683,-3.783,763000000000.000,124101,732303543977.697
BR_0000477,-49.324,-5.128,746000000000.000,121942,710737479274.375
RU_0000046,101.730,56.280,736000000000.000,210804,757706868677.612
CN_0000175,113.650,34.920,730036000000.000,179868,780024792500.196
RO_0000037,27.092,44.683,709100000000.000,193375,731108481912.461
BR_0000474,-49.124,-5.339,703000000000.000,121942,710737479274.375
NE_0000006,2.080,13.520,700000000000.000,148685,727716486016.874
RU_0000022,132.020,63.320,696000000000.000,220945,719146349340.038
BG_0000005,27.260,44.130,689700000000.000,193375,731108481912.461
CA_0000770,-79.047,43.157,686000000000.000,191722,668331955447.088
CA_0000773,-78.914,42.930,682980000000.000,191002,654822528226.148
BR_0002434,-53.173,-22.713,676000000000.000,96734,711973707044.460
BR_0002436,-53.173,-22.713,676000000000.000,96734,711973707044.460
BR_0002435,-53.177,-22.718,673977000000.000,96734,711973707044.460
BG_0000004,25.950,43.860,669900000000.000,192652,708985152785.730
KH_0000001,104.942,11.583,663000000000.000,146731,689894688827.252
KH_0000002,105.465,11.995,660000000000.000,146731,689894688827.252
RO_0000032,25.354,43.627,658400000000.000,192651,702248922793.669
BG_0000003,25.350,43.630,658340000000.000,192651,702248922793.669
KH_0000003,106.015,12.477,646000000000.000,147453,677799885280.357
BD_0000001,89.670,25.180,636130000000.000,166140,554203873548.774
KH_0000004,105.945,13.533,635000000000.000,148892,662712918944.687
MX_0000008,-114.720,32.720,631960000000.000,176531,654200102203.518
BR_0001110,-36.824,-10.214,631000000000.000,114767,639661043445.526
BR_0001106,-37.446,-9.751,615000000000.000,115486,636619096553.368
BR_0001105,-37.756,-9.626,610000000000.000,115485,609169874179.206
BR_0000147,-65.348,-10.793,609000000000.000,113990,630944864910.505
BR_0000148,-65.343,-10.812,609000000000.000,113990,630944864910.505
CA_0003859,-111.583,59.872,606000000000.000,215417,627240164946.980
TD_0000003,15.030,12.120,600000000000.000,147270,528936936732.607
RU_0000047,103.950,52.570,598000000000.000,205768,652842127696.319
CA_0000769,-83.093,42.298,592589000000.000,190274,583677976311.288
BR_0001102,-38.300,-9.067,592000000000.000,116204,600025527880.457
BG_0000002,23.240,43.840,588860000000.000,192647,631350041338.899
BG_0000001,22.820,44.160,584900000000.000,193366,626883980480.762
RO_0000029,22.420,44.700,576232000000.000,194085,618026985016.671
CA_0000761,-82.425,42.987,576013000000.000,191716,556420297912.699
BR_0002835,-57.891,-21.700,576000000000.000,98165,559497523639.858
RO_0000030,21.379,44.815,570896000000.000,194083,613636219037.548
ML_0000032,0.500,15.667,566000000000.000,152281,554083713498.938
BR_0002834,-57.919,-21.436,565000000000.000,98885,556626311766.071
RU_0000073,71.170,57.700,564000000000.000,212903,617395438349.704
BR_0001095,-39.244,-8.626,561000000000.000,116922,560280064599.965
BR_0002833,-57.844,-21.099,546000000000.000,98885,556626311766.071
LA_0000014,105.800,15.117,545000000000.000,151772,560767675391.959
BR_0001091,-39.824,-8.810,535000000000.000,116921,554165469746.857
RU_0000098,158.720,68.730,526000000000.000,228918,559968893049.151
BR_0001088,-40.504,-9.406,516000000000.000,116199,517500164179.606
BR_0002831,-58.167,-20.229,516000000000.000,100324,516263244426.612
CF_0000010,18.580,4.370,500000000000.000,135758,563052027500.718
BR_0000322,-51.779,-3.102,482000000000.000,124817,503357068917.791
UA_0000058,33.180,46.770,482000000000.000,196987,512409565405.389
BR_0002263,-51.635,-20.855,477000000000.000,99617,514728402395.070
UA_0000056,35.150,47.920,463000000000.000,198431,495682796535.014
BR_0000286,-55.982,-4.276,458000000000.000,123369,471218454213.409
MX_0000007,-97.520,25.900,450902000000.000,166485,534391207451.214
TD_0000008,16.720,10.480,450000000000.000,144394,474271710525.229
UZ_0000002,59.700,42.280,450000000000.000,190560,484406034930.484
BR_0000319,-52.212,-3.215,448000000000.000,124816,469470926933.455
BR_0001081,-42.433,-10.167,448000000000.000,114756,474864161527.231
BR_0000318,-52.202,-3.299,447000000000.000,124816,469470926933.455
RU_0000043,107.480,52.030,440200000000.000,205055,454655890235.452
BR_0001076,-43.137,-11.092,425000000000.000,113314,411087379970.519
MZ_0000007,33.543,-24.744,416522000000.000,94028,495848111006.487
CA_0002916,-99.349,53.164,406000000000.000,206082,373831784149.354
TH_0000156,104.737,16.540,391000000000.000,153930,409030853835.776
BR_0000280,-56.723,-4.886,390000000000.000,122647,394475056217.822
CA_0002913,-101.209,53.838,389000000000.000,206798,359187140181.370
BR_0000473,-48.133,-5.651,388000000000.000,121224,358889774259.852
RU_0000162,40.647,47.541,378000000000.000,198442,371472924602.197
BR_0000470,-48.542,-6.410,377000000000.000,120504,349665410478.302
LA_0000007,104.807,17.393,373000000000.000,154650,394253901675.741
TH_0000154,104.803,17.398,373000000000.000,154650,394253901675.741
BR_0002830,-57.437,-19.601,371000000000.000,101045,362358521811.512
RU_0000157,52.429,55.756,370000000000.000,209985,381381049113.238
BR_0000085,-62.145,-4.729,366000000000.000,122636,373329069746.664
ZA_0000007,21.239,-28.458,364560000000.000,88963,370995914568.943
BR_0000278,-57.643,-6.045,363000000000.000,120485,366825681388.174
RU_0000096,153.670,67.370,361000000000.000,226748,391949068933.522
BR_0000084,-62.869,-4.859,355000000000.000,122635,370248405156.462
BR_0001048,-43.282,-11.558,345000000000.000,112594,329367896115.297
ML_0000030,-3.033,16.667,342000000000.000,153715,392320187340.545
BR_0000140,-64.425,-12.427,341000000000.000,111832,354576899495.286
ML_0000029,-3.383,16.267,340000000000.000,152994,389360064620.781
NA_0000049,24.300,-17.483,339521000000.000,104809,327338729534.129
ZA_0000008,22.746,-29.652,339310000000.000,86806,349275830561.358
BR_0000276,-58.155,-7.340,333000000000.000,119044,345327540265.726
BR_0000464,-49.259,-8.269,332000000000.000,117622,303686617797.253
CN_0000187,111.300,23.480,329705000000.000,163303,332653507591.426
CA_0002909,-101.933,53.883,328000000000.000,206797,357359235533.909
UA_0000057,30.517,50.433,328000000000.000,202022,359142525855.599
BR_0002822,-57.235,-19.258,327000000000.000,101766,356539641630.118
CA_0002895,-105.068,53.246,321000000000.000,206070,297478189254.405
BR_0000002,-73.950,-4.510,316000000000.000,122612,338303879665.810
BR_0000083,-64.333,-5.667,315000000000.000,121192,321087959728.589
BR_0001044,-43.226,-12.697,314000000000.000,111154,305213091138.833
RU_0000118,52.200,67.600,312000000000.000,227265,306786409604.760
BR_0001043,-43.380,-12.869,309000000000.000,111154,305213091138.833
TM_0000001,65.250,37.830,309000000000.000,184091,287133605043.865
IN_0000098,81.656,17.252,307800000000.000,154604,335034519345.788
IN_0000100,81.387,17.483,305460000000.000,155323,329130048198.783
RU_0000091,147.350,69.580,305000000000.000,230335,306103843021.429
TH_0000153,102.720,17.877,302000000000.000,155366,317929240048.571
LA_0000005,102.620,17.928,299000000000.000,155366,317929240048.571
BR_0000611,-42.370,-3.454,298000000000.000,124836,300262882624.178
BR_0000612,-42.367,-3.453,298000000000.000,124836,300262882624.178
BR_0000403,-47.469,-5.789,297000000000.000,121226,296504331958.844
BR_0000404,-47.482,-5.767,297000000000.000,121226,296504331958.844
BR_0000610,-42.986,-4.288,294000000000.000,123395,291005600126.684
BR_0000099,-64.829,-0.482,293000000000.000,129111,302857501117.646
CA_0003842,-112.437,59.118,293000000000.000,214696,295287558681.899
TH_0000173,101.668,17.897,292000000000.000,155364,306169417989.933
BR_0000401,-47.392,-6.289,289000000000.000,120506,293428604096.566
CA_0002893,-103.299,53.707,289000000000.000,206794,317714830621.540
CA_0003520,-94.622,58.119,289000000000.000,213291,295824534122.881
RU_0000053,92.300,55.460,289000000000.000,209345,297330871470.630
CA_0005942,-141.198,64.789,288000000000.000,222558,286867716894.696
CA_0002891,-104.039,53.367,287000000000.000,206072,304919637291.325
CA_0002894,-103.267,53.714,287000000000.000,206794,317714830621.540
CA_0003295,-96.865,50.146,287000000000.000,201767,268393631017.874
CA_0003300,-96.932,50.108,287000000000.000,201767,268393631017.874
CA_0003308,-97.097,49.951,285000000000.000,201046,260445556600.827
ZM_0000003,23.250,-16.117,284538000000.000,106247,309555459484.247
CA_0003841,-114.022,58.650,282000000000.000,213972,285758006497.070
ML_0000028,-4.220,14.530,281600000000.000,150832,308880907685.850
BR_0000155,-65.572,-10.540,281000000000.000,113989,318821579613.092
BR_0000311,-52.877,-5.393,281000000000.000,121935,306787263580.372
IN_0000060,80.877,17.668,280505000000.000,155322,302708632077.325
BR_0000399,-47.473,-7.338,275000000000.000,119065,278073225268.978
CA_0006000,-121.228,61.743,275000000000.000,217557,275422914031.014
BR_0001027,-43.439,-13.257,271000000000.000,110434,293171294379.556
CA_0003517,-96.832,57.239,271000000000.000,211847,275825643561.007
IN_0000061,80.396,18.587,268200000000.000,156761,285060787018.942
LA_0000002,102.137,19.892,268000000000.000,158244,282676794513.285
MZ_0000008,32.433,-23.461,266350000000.000,96185,255962470546.816
BR_0000310,-52.591,-5.918,266000000000.000,121215,297554908840.130
CA_0005936,-139.425,64.070,264000000000.000,221841,260057072335.645
CA_0003514,-99.044,56.674,261000000000.000,211122,242676211255.204
BR_0000395,-47.600,-7.450,257000000000.000,119065,278073225268.978
BR_0000309,-52.058,-6.604,255000000000.000,119776,272972112411.866
BR_0001026,-43.763,-14.304,254000000000.000,108993,251121699315.348
BR_0002807,-57.594,-19.002,253000000000.000,102485,242914792631.949
RS_0000002,19.080,45.530,251593000000.000,194799,294653212563.614
IN_0000109,80.625,16.501,251360000000.000,153162,275820923418.438
BR_0000044,-66.609,-1.821,249000000000.000,126947,271964044778.496
RU_0000119,52.098,65.449,248000000000.000,223665,266594502023.765
NA_0000004,21.433,-18.033,244572000000.000,104083,242564652498.626
BR_0000153,-66.078,-11.001,244000000000.000,113268,285568508588.714
CA_0003512,-100.036,56.468,244000000000.000,210400,224100125790.644
UY_0000001,-57.930,-31.380,244000000000.000,84485,243513133102.540
BR_0002806,-57.391,-18.394,243000000000.000,103206,237051777527.873
BR_0000392,-48.111,-8.392,242000000000.000,117624,241332862513.830
BR_0002986,-57.950,-31.367,242000000000.000,84485,243513133102.540
BR_0000079,-64.386,-6.539,236000000000.000,119752,250405189351.063
IN_0000110,80.131,16.789,235544000000.000,153881,269893016257.453
BR_0000601,-43.024,-5.572,235000000000.000,121234,229470818808.067
BR_0002805,-57.489,-18.039,234000000000.000,103206,237051777527.873
CA_0005078,-122.825,49.218,232000000000.000,200275,233718879418.344
CA_0003506,-100.459,56.148,230000000000.000,210400,224100125790.644
KZ_0000001,78.320,50.880,230000000000.000,202837,258521684333.103
BR_0000453,-50.417,-10.283,228000000000.000,114740,251824970507.287
CA_0005034,-122.303,49.128,228000000000.000,200276,229703664019.657
CA_0003826,-116.029,58.388,227025796900.000,213248,232025918090.375
BR_0000143,-65.006,-12.799,227000000000.000,111110,230912610664.589
BR_0000078,-64.797,-7.258,226000000000.000,119031,232021273878.632
RU_0000088,136.080,70.750,224000000000.000,231753,220781757431.635
CA_0005999,-123.475,60.242,222000000000.000,216114,227022624580.599
IN_0000111,79.659,16.684,221220000000.000,153880,258084298787.608
KZ_0000011,67.050,44.050,219000000000.000,192735,259569493675.992
CA_0004980,-121.776,49.204,218000000000.000,200277,227685799799.279
CA_0004957,-121.454,49.386,217000000000.000,200277,227685799799.279
CA_0003825,-117.033,57.742,216813203100.000,212526,217523968455.548
RU_0000070,81.330,53.800,216000000000.000,207163,210232107927.629
IN_0000221,79.417,16.580,215350000000.000,153879,246267469347.337
CA_0003505,-102.316,55.525,212000000000.000,209676,205097165385.420
CA_0003509,-102.217,55.638,212000000000.000,209676,205097165385.420
IN_0000287,78.271,16.027,210500000000.000,153157,231451532305.603
CA_0000403,-84.362,46.509,210000000000.000,196032,204954507783.997
CA_0003510,-102.830,55.575,209717500000.000,209675,196398487716.658
ZW_0000083,29.983,-22.217,208784000000.000,97620,195936734494.985
CA_0003504,-103.172,55.608,207000000000.000,209674,194658699186.254
ZM_0000004,23.233,-14.383,206531000000.000,109127,205045053342.245
IN_0000305,78.897,16.087,206041000000.000,153158,234419316746.825
BR_0000043,-69.428,-1.395,206000000000.000,127661,219440063148.808
BR_0001008,-43.932,-14.757,202000000000.000,108273,227186373425.451
ZA_0000266,29.990,-22.226,201001000000.000,97620,195936734494.985
ZA_0000265,29.987,-22.224,201000000000.000,97620,195936734494.985
BR_0001007,-44.017,-15.017,200000000000.000,107552,191449499556.262
RU_0000032,119.970,53.420,200000000000.000,206520,199309139391.623
RU_0000107,123.220,72.120,198000000000.000,233887,199913615365.056
BR_0000452,-50.600,-10.717,195000000000.000,114019,200320066066.653
BR_0001005,-44.367,-15.483,195000000000.000,107552,191449499556.262
CA_0003814,-117.314,56.245,194374203100.000,210366,187332629588.761
BR_0000096,-66.802,-0.201,194000000000.000,129107,216310679812.300
BR_0000451,-50.663,-11.618,194000000000.000,112579,182118701377.881
BR_0001004,-44.397,-15.601,194000000000.000,107552,191449499556.262
TD_0000010,18.420,9.150,193000000000.000,142238,201250343275.782
BR_0002983,-57.083,-29.717,190000000000.000,86646,195600122755.630
BR_0002984,-57.089,-29.749,190000000000.000,86646,195600122755.630
KZ_0000012,51.280,50.850,190000000000.000,202783,194824244590.106
TH_0000134,100.083,20.273,189000000000.000,158961,219037760289.314
RU_0000152,42.042,55.566,188000000000.000,209965,209039541691.949
RU_0000009,114.170,57.820,186000000000.000,212989,201161713326.974
BR_0000385,-48.380,-9.568,185000000000.000,115464,186545444827.279
BR_0001000,-44.868,-15.949,184000000000.000,106831,182502438800.602
BR_0000261,-58.281,-7.731,182000000000.000,118324,196431188919.931
BR_0000384,-48.418,-10.704,174000000000.000,114024,171331257613.760
BR_0000383,-48.459,-11.248,167000000000.000,113303,165262343305.468
RU_0000075,70.630,56.820,165000000000.000,211462,146514130091.795
BR_0000042,-66.851,-4.839,164000000000.000,122627,171434329347.461
CA_0003104,-97.192,49.875,163000000000.000,201045,154802614425.389
CA_0003103,-97.405,49.868,162000000000.000,201045,154802614425.389
CA_0003008,-98.380,49.966,161000000000.000,201044,152805263247.081
CA_0003105,-98.274,49.938,161000000000.000,201044,152805263247.081
CA_0003107,-98.642,49.759,161000000000.000,201043,150807912068.772
NL_0000021,6.110,51.840,160800000000.000,204133,152882216106.966
CA_0003097,-98.890,49.699,160000000000.000,201043,150807912068.772
DE_0000633,6.395,51.757,159300000000.000,204133,152882216106.966
TZ_0000027,37.920,-7.800,158200000000.000,118516,171351965144.945
CA_0003707,-111.515,58.313,155000000000.000,213258,177081011234.148
BR_0000071,-67.000,-7.716,154000000000.000,118307,158612318312.703
BR_0000987,-45.070,-16.372,154000000000.000,106110,170587139905.655
CA_0003538,-96.410,64.407,154000000000.000,221928,177138993381.989
CA_0004984,-121.853,50.614,154000000000.000,202437,157617151520.235
TZ_0000028,37.870,-7.820,154000000000.000,118516,171351965144.945
ZM_0000014,28.217,-15.817,153351000000.000,106977,149716852881.400
BR_0000142,-64.999,-14.881,153000000000.000,108230,174003762599.544
CA_0003541,-97.054,64.778,152000000000.000,222646,170448378666.241
CA_0002786,-105.806,52.924,148000000000.000,205348,161732708681.321
DE_0000640,6.770,51.225,147680000000.000,203414,141399453641.126
CA_0006037,-123.551,65.128,146400000000.000,223313,132091768701.048
CA_0001214,-73.842,45.518,146000000000.000,195331,146167235347.534
CA_0001224,-73.873,45.542,146000000000.000,195331,146167235347.534
CA_0001225,-73.677,45.559,146000000000.000,195331,146167235347.534
CA_0001234,-73.658,45.589,146000000000.000,195331,146167235347.534
CA_0004914,-122.134,51.187,146000000000.000,203156,151749540470.743
DE_0000641,6.963,50.937,144232000000.000,202695,131703960401.901
BR_0000041,-68.246,-6.440,144000000000.000,120464,156056861161.139
ML_0000026,-4.980,14.150,143300000000.000,150111,154640659804.247
CA_0001085,-74.393,45.570,143000000000.000,195331,146167235347.534
ZM_0000040,30.217,-14.967,142760000000.000,108421,132384932376.584
CN_0000004,101.067,21.883,141380000000.000,161123,161202020809.609
CA_0002771,-106.644,52.141,141000000000.000,204627,157969038479.179
ML_0000024,-5.370,13.950,141000000000.000,150110,148641802277.843
RS_0000003,20.082,45.933,140130000000.000,195521,148962147538.703
BR_0000585,-43.017,-6.767,140000000000.000,119794,140623430797.419
BR_0000586,-43.028,-6.761,140000000000.000,119794,140623430797.419
DE_0000642,7.392,50.443,139549000000.000,202695,131703960401.901
BR_0000302,-53.096,-10.777,139000000000.000,114014,147762035904.468
BR_0002093,-50.383,-19.817,139000000000.000,101060,138445228080.899
HU_0000032,20.167,46.250,138408000000.000,196241,144648013908.426
BR_0000275,-57.950,-7.615,138000000000.000,118325,136640881452.715
CN_0000179,96.600,33.433,137704000000.000,177674,156231988260.778
ML_0000021,-6.050,13.717,137000000000.000,149389,145645636609.775
IN_0000318,78.046,16.094,136620000000.000,153156,141751968153.658
ZM_0000015,27.030,-15.750,136234000000.000,106975,137801553986.453
CA_0002757,-107.078,51.474,136000000000.000,203906,150314009244.753
CA_0002758,-106.955,51.322,136000000000.000,203187,146465309778.097
CA_0003364,-96.177,50.568,136000000000.000,202488,144752563785.719
CA_0003758,-118.607,55.919,135396500000.000,209643,135685522874.527
CA_0003355,-95.975,50.439,135000000000.000,201769,136804792006.987
CA_0003363,-95.997,50.398,135000000000.000,201769,136804792006.987
GH_0000006,-2.033,8.150,134200000000.000,141476,133349871464.360
IN_0000112,77.841,16.259,132920000000.000,153156,141751968153.658
CA_0003684,-111.402,56.780,132588000000.000,211098,158822298141.942
DE_0000332,10.889,53.232,131950000000.000,206302,129755524375.342
BR_0000208,-60.650,-7.208,131000000000.000,119039,133971768590.540
BR_0000274,-57.402,-8.858,131000000000.000,116886,124403949981.443
CA_0002671,-105.772,53.203,131000000000.000,206068,126519357419.920
RU_0000064,85.150,57.780,131000000000.000,212931,133488651799.499
IN_0000113,77.357,16.382,129500000000.000,153155,135824060992.673
ML_0000027,-4.250,14.020,129000000000.000,150111,154640659804.247
BR_0000376,-48.533,-12.023,128000000000.000,112583,150119060609.158
CA_0003354,-96.011,50.121,128000000000.000,201768,142796693435.889
BR_0000242,-55.862,-1.776,127000000000.000,126968,129811169430.362
ML_0000004,-11.130,13.830,127000000000.000,149379,147319084268.436
RU_0000048,94.320,57.820,127000000000.000,212949,129560258506.821
RU_0000108,118.330,68.620,127000000000.000,228837,131255995436.492
BR_0000125,-61.124,1.821,126000000000.000,131998,145025287940.473
BR_0000375,-48.347,-12.251,126000000000.000,111864,129020872694.436
CA_0002731,-107.972,50.653,126000000000.000,202465,140639627983.570
CA_0003357,-95.092,50.212,126000000000.000,201770,130874884448.633
CA_0003358,-95.571,50.225,126000000000.000,201769,136804792006.987
CA_0003359,-95.339,50.367,126000000000.000,201770,130874884448.633
BR_0000151,-66.411,-11.107,125000000000.000,112547,125473545116.805
BR_0002954,-56.037,-28.624,125000000000.000,88088,125774535025.540
IN_0000233,84.783,20.589,124450000000.000,159650,126655449613.374
BR_0000090,-67.313,0.372,124000000000.000,130546,120495045127.742
DE_0000725,11.760,52.991,123532000000.000,205584,116808536350.291
ZM_0000043,28.750,-11.967,123072000000.000,112018,121255780836.426
BR_0000317,-54.013,-4.528,122000000000.000,122652,116459108942.042
CA_0003220,-97.134,49.785,122000000000.000,200326,101668904966.915
CN_0000181,117.380,32.930,121330000000.000,176995,121888064140.668
CA_0003492,-104.560,55.417,121000000000.000,208952,123328018157.250
CA_0003765,-120.057,56.127,121000000000.000,210360,123596461074.353
ZA_0000017,24.603,-28.499,120982000000.000,88970,123485728274.374
TH_0000177,100.192,15.166,120693000000.000,151761,115001372052.305
BR_0002953,-56.033,-28.550,120000000000.000,88088,125774535025.540
ML_0000016,-7.550,12.867,120000000000.000,147945,121586545747.304
CA_0003224,-97.122,49.757,119500000000.000,200326,101668904966.915
CA_0002666,-107.149,52.373,119000000000.000,204626,117271549074.434
CA_0002729,-109.125,51.022,119000000000.000,203182,128821293695.339
CA_0003493,-104.736,55.648,119000000000.000,209671,107359750415.259
CA_0005970,-124.476,59.743,119000000000.000,215391,123933896706.973
CN_0000006,98.883,24.983,118760000000.000,165438,109314658322.825
CA_0001982,-83.833,51.331,118000000000.000,203233,136773340045.960
MM_0000002,96.100,21.980,117900000000.000,161832,137431189929.330
BR_0000441,-50.585,-13.210,117000000000.000,110419,125164053989.256
TH_0000167,105.470,15.287,117000000000.000,151771,113149318714.729
BR_0002950,-55.643,-28.182,116000000000.000,88809,117643907172.870
ML_0000025,-4.920,13.380,116000000000.000,148670,124227981830.618
TH_0000166,105.248,15.240,116000000000.000,151771,113149318714.729
CN_0000125,100.167,23.550,115894000000.000,164001,118391487265.465
CA_0003221,-97.186,49.553,115000000000.000,200326,101668904966.915
RU_0000054,94.400,51.720,115000000000.000,204309,129827143088.788
CA_0004877,-122.444,52.530,114000000000.000,205316,117302127530.028
BR_0002092,-48.683,-20.167,113000000000.000,100343,118134948075.805
